timestamp_epoch_ms	direction	message
1789134203210	RX	Acknowledgement(sequence=7, duplicate=false)
1789134203211	RX	Status(sequence=7, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=30, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134203356	TX	<CMD,seq=8,move=S,turn=C,step_speed=60,servo=0>
1789134203356	RX	Acknowledgement(sequence=8, duplicate=false)
1789134203357	RX	Status(sequence=8, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134203711	TX	<CMD,seq=8,move=S,turn=C,step_speed=60,servo=0>
1789134203711	RX	Acknowledgement(sequence=8, duplicate=false)
1789134203712	RX	Status(sequence=8, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134204212	TX	<CMD,seq=8,move=S,turn=C,step_speed=60,servo=0>
1789134204212	RX	Acknowledgement(sequence=8, duplicate=false)
1789134204212	RX	Status(sequence=8, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134204712	TX	<CMD,seq=8,move=S,turn=C,step_speed=60,servo=0>
1789134204713	RX	Acknowledgement(sequence=8, duplicate=false)
1789134204713	RX	Status(sequence=8, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134205213	TX	<CMD,seq=8,move=S,turn=C,step_speed=60,servo=0>
1789134205213	RX	Acknowledgement(sequence=8, duplicate=false)
1789134205213	RX	Status(sequence=8, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134205713	TX	<CMD,seq=8,move=S,turn=C,step_speed=60,servo=0>
1789134205713	RX	Acknowledgement(sequence=8, duplicate=false)
1789134205714	RX	Status(sequence=8, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134206214	TX	<CMD,seq=8,move=S,turn=C,step_speed=60,servo=0>
1789134206214	RX	Acknowledgement(sequence=8, duplicate=false)
1789134206215	RX	Status(sequence=8, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134206537	TX	<CMD,seq=9,move=S,turn=R,step_speed=60,servo=26>
1789134206537	RX	Acknowledgement(sequence=9, duplicate=false)
1789134206538	RX	Status(sequence=9, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=26, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134206714	TX	<CMD,seq=9,move=S,turn=R,step_speed=60,servo=26>
1789134206715	RX	Acknowledgement(sequence=9, duplicate=false)
1789134206715	RX	Status(sequence=9, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=26, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134207215	TX	<CMD,seq=9,move=S,turn=R,step_speed=60,servo=26>
1789134207215	RX	Acknowledgement(sequence=9, duplicate=false)
1789134207216	RX	Status(sequence=9, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=26, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134207716	TX	<CMD,seq=9,move=S,turn=R,step_speed=60,servo=26>
1789134207716	RX	Acknowledgement(sequence=9, duplicate=false)
1789134207716	RX	Status(sequence=9, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=26, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134208216	TX	<CMD,seq=9,move=S,turn=R,step_speed=60,servo=26>
1789134208216	RX	Acknowledgement(sequence=9, duplicate=false)
1789134208217	RX	Status(sequence=9, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=26, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134208678	TX	<CMD,seq=10,move=S,turn=C,step_speed=60,servo=0>
1789134208678	RX	Acknowledgement(sequence=10, duplicate=false)
1789134208679	RX	Status(sequence=10, linkAlive=true, stepTargetRpm=0, stepEstimatedRpm=0, stepActualRpm=null, servoDegrees=0, rollDegrees=1.2, pitchDegrees=-2.4, yawDegrees=85.7, faultBits=0)
1789134208717	TX	<CMD,seq=10,move=S,turn=C,step_speed=60,servo=0>
1789134208717	RX	Acknowledgement(sequence=10, duplicate=false)
